actual_label,predicted_label,error,is_anomaly
normal,normal,0.009175044,0
normal,satan,0.1572454,1
neptune,neptun,0.59116954,1
normal,normal,0.010968545,0
normal,normal,0.0020513164,0
neptune,neptun,0.28640395,1
neptune,neptun,0.61741877,1
neptune,neptun,0.5801809,1
neptune,neptun,0.6976564,1
neptune,neptun,0.5979517,1
neptune,neptun,0.36585635,1
neptune,neptun,0.6463634,1
normal,normal,0.003789434,0
warezclient,normal,0.06796944,0
neptune,neptun,0.6793615,1
neptune,neptun,0.5705595,1
normal,normal,0.0019534545,0
ipsweep,ipswee,0.3318028,1
normal,normal,0.001848955,0
normal,normal,0.0015380715,0
neptune,neptun,0.65228206,1
neptune,neptun,0.70971155,1
normal,normal,0.0006904129,0
normal,snmpge,0.10314219,1
neptune,neptun,0.6900069,1
normal,xlock,0.24693137,1
neptune,neptun,0.71691984,1
normal,normal,0.04909584,0
normal,normal,0.0008538841,0
normal,normal,0.00319017,0
ipsweep,ipswee,0.23386659,1
neptune,neptun,0.5402293,1
normal,normal,0.0040074713,0
portsweep,portsw,0.326097,1
normal,normal,0.0052644094,0
normal,normal,0.01545127,0
normal,normal,0.009787329,0
neptune,neptun,0.6408579,1
normal,normal,0.0010281772,0
neptune,neptun,0.6612352,1
neptune,neptun,0.54445595,1
neptune,neptun,0.6966906,1
normal,normal,0.009043911,0
normal,snmpge,0.1098902,1
normal,normal,0.0008302016,0
neptune,neptun,0.57860136,1
teardrop,teardr,3.734516,1
normal,normal,0.005164832,0
warezclient,normal,0.06452117,0
neptune,neptun,0.69177264,1
normal,normal,0.0016688585,0
neptune,neptun,0.30170345,1
teardrop,teardr,3.8593204,1
normal,normal,0.006626503,0
normal,normal,0.0021375197,0
normal,normal,0.040123463,0
nmap,nmap,0.14825794,1
neptune,neptun,0.59891963,1
neptune,neptun,0.5187252,1
normal,normal,0.012615922,0
normal,normal,0.012422933,0
neptune,neptun,0.38277322,1
satan,satan,0.69305146,1
normal,normal,0.0011387828,0
neptune,neptun,0.27310443,1
normal,normal,0.007413778,0
portsweep,portsw,0.3319058,1
neptune,neptun,0.5296261,1
neptune,neptun,0.3206647,1
neptune,neptun,0.608153,1
normal,normal,0.021582909,0
neptune,neptun,0.5943704,1
normal,normal,0.052413143,0
normal,normal,0.0142078195,0
neptune,neptun,0.6058745,1
normal,normal,0.012665571,0
neptune,neptun,0.7131639,1
normal,normal,0.008526683,0
normal,normal,0.0020012576,0
neptune,neptun,0.41497022,1
normal,normal,0.004071826,0
neptune,neptun,0.326973,1
neptune,neptun,0.65485454,1
ipsweep,ipswee,0.25990382,1
normal,normal,0.0009358878,0
neptune,neptun,0.70940447,1
normal,normal,0.00083720544,0
neptune,neptun,0.6861575,1
neptune,neptun,0.3060215,1
normal,normal,0.075807236,0
normal,normal,0.070394546,0
normal,normal,0.0014199028,0
normal,normal,0.009599582,0
neptune,neptun,0.31358343,1
neptune,neptun,0.74309313,1
normal,normal,0.012399102,0
normal,normal,0.03952198,0
normal,normal,0.006209299,0
normal,normal,0.03608954,0
neptune,neptun,0.5886347,1
normal,normal,0.0076303505,0
normal,normal,0.0022830644,0
normal,apache,0.11590895,1
normal,normal,0.0034963053,0
teardrop,teardr,3.7869701,1
normal,normal,0.0024156985,0
normal,normal,0.0005769689,0
normal,normal,0.0071320324,0
normal,normal,0.0027513397,0
normal,normal,0.020028435,0
normal,normal,0.0009048902,0
normal,warezc,0.09961569,1
normal,normal,0.033518285,0
normal,normal,0.011171105,0
normal,normal,0.0022185624,0
portsweep,portsw,0.8858002,1
neptune,neptun,0.28485945,1
normal,normal,0.03759279,0
normal,normal,0.0040039956,0
normal,normal,0.0014712802,0
neptune,neptun,0.39248106,1
neptune,neptun,0.42271057,1
neptune,neptun,0.6963734,1
normal,normal,0.0032039043,0
neptune,neptun,0.73744226,1
normal,normal,0.023181465,0
normal,normal,0.009858321,0
normal,ps,0.097825885,1
normal,normal,0.0077645965,0
normal,normal,0.0392007,0
neptune,neptun,0.6265171,1
neptune,neptun,0.33463022,1
normal,normal,0.044461004,0
normal,normal,0.005348366,0
neptune,neptun,0.5965256,1
neptune,neptun,0.6762307,1
normal,normal,0.080771185,0
normal,normal,0.0026111493,0
smurf,normal,0.05424892,0
neptune,neptun,0.5795852,1
normal,normal,0.00085249357,0
neptune,neptun,0.32991284,1
neptune,neptun,0.42692772,1
normal,normal,0.0013909339,0
normal,normal,0.017247116,0
normal,normal,0.004394746,0
nmap,nmap,0.65224963,1
normal,normal,0.009006111,0
warezclient,normal,0.06643475,0
neptune,neptun,0.5243306,1
neptune,neptun,0.5873973,1
normal,normal,0.0025871156,0
neptune,neptun,0.7320606,1
neptune,neptun,0.7337919,1
neptune,neptun,0.5961329,1
normal,normal,0.026026726,0
normal,normal,0.05815563,0
neptune,neptun,0.56683016,1
ipsweep,ipswee,0.25338116,1
neptune,neptun,0.69288206,1
normal,normal,0.0017657357,0
normal,satan,0.09606048,1
normal,normal,0.031097487,0
normal,warezc,0.17750722,1
neptune,neptun,0.7005025,1
portsweep,portsw,0.55708253,1
normal,normal,0.04630666,0
normal,normal,0.0036186532,0
normal,normal,0.032687474,0
normal,normal,0.00130165,0
neptune,neptun,0.5387268,1
normal,normal,0.05047591,0
smurf,smurf,0.23119691,1
neptune,neptun,0.42678556,1
neptune,neptun,0.57319224,1
neptune,neptun,0.730677,1
normal,normal,0.03299806,0
satan,satan,1.1934991,1
satan,satan,0.14633702,1
neptune,neptun,0.7246383,1
normal,normal,0.0393308,0
normal,normal,0.02307802,0
normal,normal,0.012317356,0
normal,normal,0.004774064,0
teardrop,teardr,3.8224013,1
neptune,neptun,0.5531984,1
neptune,neptun,0.57057416,1
neptune,neptun,0.5865048,1
normal,normal,0.021351619,0
normal,normal,0.00077194686,0
warezclient,warezc,1.378228,1
normal,normal,0.0028116882,0
neptune,neptun,0.65872025,1
neptune,neptun,0.65431327,1
normal,normal,0.003685345,0
normal,normal,0.07617591,0
normal,normal,0.014186451,0
normal,normal,0.02516386,0
portsweep,portsw,0.90613014,1
normal,normal,0.0022904733,0
normal,normal,0.0009819278,0
neptune,neptun,0.5971498,1
normal,normal,0.0018404479,0
normal,normal,0.013724691,0
normal,normal,0.004646279,0
normal,normal,0.06605238,0
neptune,neptun,0.6363076,1
normal,normal,0.0036157225,0
normal,phf,0.13056482,1
neptune,neptun,0.5816488,1
satan,satan,0.66723424,1
pod,pod,0.5861567,1
neptune,neptun,0.7113407,1
normal,normal,0.0011386763,0
neptune,neptun,0.7032761,1
neptune,neptun,0.5972501,1
normal,normal,0.0017179411,0
normal,normal,0.0019167209,0
normal,normal,0.002262996,0
normal,normal,0.008490393,0
normal,normal,0.0029363942,0
neptune,neptun,0.59027684,1
warezclient,normal,0.06547878,0
neptune,neptun,0.6755294,1
ipsweep,ipswee,0.273487,1
normal,normal,0.0019570815,0
normal,normal,0.0028008518,0
neptune,neptun,0.57670826,1
normal,back,0.13597548,1
normal,normal,0.044463903,0
normal,normal,0.012868366,0
normal,normal,0.002765518,0
normal,normal,0.03400224,0
teardrop,teardr,3.6994355,1
normal,normal,0.0049009933,0
neptune,neptun,0.42618695,1
neptune,neptun,0.6756132,1
neptune,neptun,0.5905976,1
normal,normal,0.012099269,0
normal,normal,0.0018954013,0
normal,normal,0.03628261,0
ipsweep,ipswee,0.36851636,1
neptune,neptun,0.72415096,1
neptune,neptun,0.55508476,1
neptune,neptun,0.7133752,1
normal,normal,0.0030787555,0
neptune,neptun,0.61485684,1
ipsweep,ipswee,0.23207103,1
neptune,neptun,0.73294973,1
normal,normal,0.0020150521,0
ipsweep,ipswee,0.23714663,1
normal,normal,0.012058444,0
normal,normal,0.0020786175,0
portsweep,portsw,0.5586045,1
nmap,nmap,0.65224963,1
smurf,normal,0.022453189,0
normal,normal,0.016462417,0
normal,normal,0.0039776145,0
portsweep,portsw,0.24008605,1
normal,normal,0.0025512374,0
neptune,neptun,0.64243686,1
normal,normal,0.0075261877,0
normal,normal,0.0005830984,0
neptune,neptun,0.44379345,1
normal,normal,0.025388602,0
normal,normal,0.0022071851,0
normal,normal,0.0009818377,0
normal,normal,0.010797986,0
ipsweep,ipswee,0.26805764,1
neptune,neptun,0.65261805,1
normal,normal,0.0012557026,0
neptune,neptun,0.43497878,1
normal,normal,0.04447541,0
normal,normal,0.012089393,0
normal,normal,0.03092189,0
normal,normal,0.0019229584,0
neptune,neptun,0.6943137,1
neptune,neptun,0.69066614,1
normal,spy,0.16434981,1
normal,normal,0.00085535255,0
normal,normal,0.0037097936,0
neptune,neptun,0.54939336,1
normal,normal,0.026523188,0
normal,normal,0.0032109828,0
neptune,neptun,0.58420783,1
normal,normal,0.0049640746,0
neptune,neptun,0.7425123,1
neptune,neptun,0.6399551,1
normal,normal,0.00088143675,0
portsweep,portsw,1.5318395,1
normal,portsw,0.13682623,1
neptune,neptun,0.5960343,1
neptune,neptun,0.5872599,1
normal,normal,0.0024470822,0
normal,normal,0.007945561,0
normal,normal,0.00074870855,0
normal,normal,0.0017478466,0
nmap,nmap,0.13366051,1
normal,saint,0.09144856,1
neptune,neptun,0.5572164,1
normal,normal,0.01605692,0
neptune,neptun,0.40340585,1
neptune,neptun,0.53583145,1
warezclient,warezc,0.32219607,1
normal,normal,0.0009452632,0
ipsweep,ipswee,0.24157748,1
normal,normal,0.0658818,0
normal,normal,0.0019418397,0
portsweep,portsw,0.20147917,1
normal,normal,0.012643287,0
neptune,neptun,0.5976952,1
normal,normal,0.0072284504,0
neptune,neptun,0.31536034,1
neptune,neptun,0.6728533,1
normal,normal,0.0010167001,0
smurf,normal,0.043501172,0
ipsweep,ipswee,0.26589394,1
satan,satan,0.384899,1
normal,normal,0.046904452,0
neptune,neptun,0.6857489,1
normal,normal,0.008752509,0
neptune,neptun,0.73706037,1
neptune,neptun,0.62515205,1
neptune,neptun,0.6351352,1
normal,warezc,0.19310643,1
neptune,neptun,0.5854891,1
normal,normal,0.00087458454,0
normal,normal,0.0013130077,0
normal,normal,0.018736416,0
normal,normal,0.011233043,0
portsweep,portsw,0.44114473,1
portsweep,portsw,0.3898847,1
normal,normal,0.0061108917,0
normal,normal,0.005176287,0
neptune,neptun,0.6962967,1
normal,normal,0.0010340159,0
normal,normal,0.004002973,0
normal,normal,0.001492076,0
neptune,neptun,0.5902326,1
neptune,neptun,0.3248454,1
normal,normal,0.00096847303,0
neptune,neptun,0.6883932,1
normal,normal,0.014617753,0
normal,normal,0.0024408733,0
neptune,neptun,0.6456293,1
normal,normal,0.028032014,0
neptune,neptun,0.6542198,1
normal,normal,0.06465237,0
neptune,neptun,0.6985979,1
ipsweep,ipswee,0.92063683,1
portsweep,portsw,0.41456664,1
normal,normal,0.0015273932,0
neptune,neptun,0.72958577,1
normal,normal,0.0012619821,0
satan,satan,1.1685169,1
normal,normal,0.00061860366,0
neptune,neptun,0.60620046,1
normal,normal,0.0013305065,0
neptune,neptun,0.41791463,1
normal,normal,0.040372934,0
normal,normal,0.03645742,0
normal,normal,0.0016986923,0
neptune,neptun,0.5822533,1
normal,normal,0.020399008,0
normal,normal,0.0012976214,0
ipsweep,ipswee,0.3748935,1
back,normal,0.024196606,0
normal,normal,0.0021333687,0
neptune,neptun,0.46081457,1
neptune,neptun,0.7103632,1
normal,normal,0.0010999866,0
normal,normal,0.0029443663,0
normal,normal,0.004531302,0
neptune,neptun,0.6369898,1
normal,normal,0.0014866809,0
neptune,neptun,0.58980924,1
normal,normal,0.0393308,0
normal,normal,0.03693971,0
normal,normal,0.02486708,0
neptune,neptun,0.62403363,1
normal,normal,0.0076657864,0
neptune,neptun,0.5872332,1
normal,normal,0.0634489,0
neptune,neptun,0.5320756,1
neptune,neptun,0.59457123,1
normal,normal,0.003320013,0
neptune,neptun,0.59944135,1
normal,normal,0.0068210857,0
normal,normal,0.0010521652,0
normal,normal,0.003064948,0
normal,normal,0.001970463,0
normal,saint,0.14057498,1
neptune,neptun,0.6688641,1
neptune,neptun,0.7364395,1
neptune,neptun,0.6721978,1
neptune,neptun,0.58902586,1
portsweep,portsw,1.1958635,1
neptune,neptun,0.54776335,1
ipsweep,normal,0.06738967,0
normal,normal,0.029509123,0
normal,normal,0.0014801517,0
neptune,neptun,0.6894529,1
normal,normal,0.012587056,0
normal,normal,0.00684899,0
ipsweep,ipswee,0.236575,1
normal,xterm,7.9845486,1
normal,normal,0.0026987486,0
normal,normal,0.007584266,0
