actual_label,predicted_label,reconstruction_error,flagged_as_anomaly
normal,normal,0.0058092293,0
normal,satan,0.08624733,1
neptune,neptune,0.5895136,1
normal,normal,0.0101510715,0
normal,normal,0.001251281,0
neptune,neptune,0.3134209,1
neptune,neptune,0.6154635,1
neptune,neptune,0.5741768,1
neptune,neptune,0.708653,1
neptune,neptune,0.5937366,1
neptune,neptune,0.39288276,1
neptune,neptune,0.6450782,1
normal,normal,0.004565733,0
warezclient,normal,0.043737788,0
neptune,neptune,0.67819804,1
neptune,neptune,0.561286,1
normal,normal,0.0023201134,0
ipsweep,ipsweep,0.15662166,1
normal,normal,0.00068816746,0
normal,normal,0.0017030094,0
neptune,neptune,0.65825504,1
neptune,neptune,0.7207982,1
normal,normal,0.0009323413,0
normal,normal,0.051520586,0
neptune,neptune,0.6911623,1
normal,spy,0.19474614,1
neptune,neptune,0.7235871,1
normal,normal,0.059575193,0
normal,normal,0.00043791934,0
normal,normal,0.0025062542,0
ipsweep,ipsweep,0.2761779,1
neptune,neptune,0.54010594,1
normal,normal,0.003847391,0
portsweep,portsweep,0.44946787,1
normal,normal,0.0061152577,0
normal,normal,0.016088128,0
normal,normal,0.010532927,0
neptune,neptune,0.64257854,1
normal,normal,0.00077109295,0
neptune,neptune,0.66404474,1
neptune,neptune,0.54551727,1
neptune,neptune,0.70187914,1
normal,normal,0.0059205308,0
normal,normal,0.062175687,0
normal,normal,0.0004616769,0
neptune,neptune,0.5732053,1
teardrop,teardrop,3.7279487,1
normal,normal,0.0042982497,0
warezclient,normal,0.038923625,0
neptune,neptune,0.6964045,1
normal,normal,0.0010441873,0
neptune,neptune,0.31307644,1
teardrop,teardrop,3.8513596,1
normal,normal,0.0038692735,0
normal,normal,0.0019214156,0
normal,normal,0.015045659,0
nmap,nmap,0.14621672,1
neptune,neptune,0.5933506,1
neptune,neptune,0.5130099,1
normal,normal,0.011683252,0
normal,normal,0.007279033,0
neptune,neptune,0.40791827,1
satan,satan,0.9077508,1
normal,normal,0.000947181,0
neptune,neptune,0.2921196,1
normal,normal,0.007390046,0
portsweep,portsweep,0.21805903,1
neptune,neptune,0.5316485,1
neptune,neptune,0.3430318,1
neptune,neptune,0.60847974,1
normal,normal,0.02150104,0
neptune,neptune,0.5952069,1
normal,normal,0.04675337,0
normal,normal,0.022772012,0
neptune,neptune,0.5997644,1
normal,normal,0.006035252,0
neptune,neptune,0.7199548,1
normal,normal,0.007940948,0
normal,normal,0.0014275241,0
neptune,neptune,0.4420868,1
normal,normal,0.0026096876,0
neptune,neptune,0.3498059,1
neptune,neptune,0.6552965,1
ipsweep,ipsweep,0.31366208,1
normal,normal,0.0003413402,0
neptune,neptune,0.7031785,1
normal,normal,0.00049308693,0
neptune,neptune,0.68885285,1
neptune,neptune,0.33047032,1
normal,normal,0.061112314,0
normal,warezclient,0.067228936,1
normal,normal,0.0014170678,0
normal,normal,0.00911702,0
neptune,neptune,0.34062552,1
neptune,neptune,0.7499632,1
normal,normal,0.010176435,0
normal,normal,0.030142114,0
normal,normal,0.0076387534,0
normal,normal,0.01966913,0
neptune,neptune,0.58409756,1
normal,normal,0.0042176675,0
normal,normal,0.0010659965,0
normal,ipsweep,0.09093747,1
normal,normal,0.0025004658,0
teardrop,teardrop,3.75122,1
normal,normal,0.0011434756,0
normal,normal,0.00047743658,0
normal,normal,0.0073926966,0
normal,normal,0.0015534433,0
normal,normal,0.020716289,0
normal,normal,0.0011044833,0
normal,warezclient,0.11810837,1
normal,normal,0.031030485,0
normal,normal,0.007878945,0
normal,normal,0.0034336722,0
portsweep,portsweep,0.86629313,1
neptune,neptune,0.3106471,1
normal,normal,0.026650285,0
normal,normal,0.0047163335,0
normal,normal,0.0008689674,0
neptune,neptune,0.42217115,1
neptune,neptune,0.4533973,1
neptune,neptune,0.70012903,1
normal,normal,0.0032623934,0
neptune,neptune,0.7441739,1
normal,normal,0.017473567,0
normal,normal,0.008207305,0
normal,warezclient,0.06693448,1
normal,normal,0.006830094,0
normal,warezclient,0.06690515,1
neptune,neptune,0.62704116,1
neptune,neptune,0.35581776,1
normal,normal,0.033781525,0
normal,normal,0.005655187,0
