feature,avg_recon_error
count,0.5244434
same_srv_rate,0.41971242
srv_serror_rate,0.24404225
flag,0.24264652
protocol_type,0.24094641
dst_host_serror_rate,0.23526281
dst_host_srv_serror_rate,0.23284975
dst_host_rerror_rate,0.22673649
serror_rate,0.22670941
dst_host_srv_rerror_rate,0.21962383
dst_host_same_srv_rate,0.21771216
service,0.2102762
srv_rerror_rate,0.20472826
dst_host_srv_diff_host_rate,0.19326867
rerror_rate,0.19268884
diff_srv_rate,0.18512942
dst_host_diff_srv_rate,0.1787645
dst_host_count,0.170225
srv_diff_host_rate,0.1631842
srv_count,0.15389317
dst_host_srv_count,0.1507914
dst_host_same_src_port_rate,0.15040436
logged_in,0.14526568
num_access_files,0.13046062
duration,0.12331912
urgent,0.112091765
num_failed_logins,0.10200989
root_shell,0.09935569
su_attempted,0.09605375
is_host_login,0.09409062
is_guest_login,0.09335132
num_root,0.09021798
num_file_creations,0.08845212
num_compromised,0.08002126
hot,0.07617586
land,0.074395195
wrong_fragment,0.062460646
num_shells,0.049465828
dst_bytes,0.033029042
src_bytes,0.023839494
num_outbound_cmds,0.018497769
