reconstruction_error,true_label,predicted_label
0.2544206,1,1
0.19458279,1,1
0.0014501931,0,0
0.046070777,1,1
0.10126265,1,1
0.00092979043,0,0
0.049219333,0,1
0.6476662,1,1
0.004536721,0,0
0.50791085,1,1
0.032765277,1,0
0.014587102,0,0
0.17793411,1,1
0.25823882,1,1
0.08141942,0,1
0.00069088535,0,0
0.0010388816,0,0
0.00071772456,0,0
0.01635381,0,0
0.22390123,1,1
0.15316027,1,1
0.20666651,1,1
0.00060650345,0,0
0.0013092302,0,0
0.28672186,1,1
0.3902066,1,1
0.004178845,0,0
0.000737948,0,0
0.25904363,1,1
0.038614646,0,0
0.14526948,1,1
0.005408301,0,0
0.0012503698,0,0
0.034957413,0,0
0.63159406,1,1
0.23007265,1,1
0.0005837329,0,0
0.18669876,1,1
0.0013538199,0,0
0.0039510676,0,0
0.35555157,1,1
0.0013344577,0,0
0.0034954243,0,0
0.006622739,0,0
0.28443575,1,1
0.00069050083,0,0
0.5090071,1,1
0.027834306,1,0
0.29973114,1,1
0.028130084,0,0
0.0024195584,0,0
0.0034510929,0,0
0.26745296,1,1
0.23464759,1,1
0.07127317,1,1
0.00096042745,0,0
0.3109295,1,1
0.023652488,1,0
0.083546646,1,1
0.0006851932,0,0
0.005135347,1,0
0.00815236,1,0
0.001369146,0,0
0.0007746042,0,0
0.5086545,1,1
0.001757582,0,0
0.13896754,1,1
0.16247085,1,1
0.35309428,1,1
0.00068566843,0,0
0.23990774,1,1
0.0029293196,0,0
0.0009792631,0,0
0.0016463309,0,0
0.37212855,1,1
0.0010532684,0,0
0.00060523354,0,0
0.04247945,1,0
0.00090082374,0,0
0.0014535954,0,0
0.28564736,1,1
0.25743398,1,1
0.5259966,1,1
0.0019569197,0,0
0.001242067,0,0
0.0011465983,0,0
0.16016415,1,1
0.16742642,1,1
0.0010376303,0,0
0.0028365145,0,0
0.0008836797,0,0
0.0006859583,0,0
0.17246129,1,1
0.13140199,1,1
0.0054105907,1,0
0.0057943813,0,0
0.00078637357,0,0
0.0014666191,0,0
0.38347286,1,1
0.17122522,1,1
1.017321,1,1
0.5267666,1,1
0.24526843,1,1
0.15724984,1,1
0.007294327,0,0
0.25996095,1,1
1.6812652,1,1
0.0012410759,0,0
0.0014478819,0,0
0.0038193192,0,0
0.24656776,1,1
0.043886118,1,0
0.041435577,1,0
0.0009227491,0,0
0.45268345,1,1
0.0006472085,0,0
0.026173577,1,0
0.35028794,1,1
0.005371377,1,0
0.0012071952,0,0
0.16131587,1,1
0.38756016,1,1
0.17925723,1,1
0.017775876,0,0
0.0020795795,0,0
0.6476585,1,1
0.2575181,1,1
0.0010655525,0,0
0.001825879,0,0
0.0014746556,0,0
0.0082043065,0,0
0.12628429,1,1
0.00064455223,0,0
0.16909203,1,1
0.0011207345,0,0
0.23654962,1,1
0.0055080308,1,0
0.13102415,1,1
0.00056191755,0,0
0.00086063275,0,0
0.0014915295,0,0
0.18655503,1,1
0.29338682,1,1
0.12676115,1,1
0.035405014,1,0
0.2590784,1,1
0.17356533,1,1
0.0008779772,0,0
0.1464239,1,1
0.69469887,1,1
0.40181938,1,1
0.64074695,1,1
0.0071557937,1,0
0.0008959781,0,0
0.29082152,1,1
0.11442882,1,1
0.29688823,1,1
0.36101228,1,1
0.3990691,1,1
0.30374536,1,1
0.44458047,1,1
0.60505164,1,1
0.20503023,1,1
0.03410829,1,0
0.33726338,1,1
0.039515138,1,0
0.00084452034,0,0
0.3588888,1,1
0.079260156,1,1
0.0010050121,0,0
0.2713582,1,1
0.2942316,1,1
0.12640762,1,1
0.0019330034,0,0
0.69049114,1,1
0.5744081,1,1
0.3061282,1,1
0.03891318,0,0
0.053167332,1,1
0.004491576,0,0
0.00073857803,0,0
0.0014938007,0,0
0.005007979,1,0
0.20143557,1,1
0.24396941,1,1
0.0020403205,0,0
0.17802271,1,1
0.0005962584,0,0
0.078215204,1,1
0.2873903,1,1
0.00308396,0,0
0.000899673,0,0
0.0019755014,0,0
0.020882022,0,0
0.5615876,1,1
