reconstruction_error,true_label,predicted_label
3.0527618,1,1
0.7057554,1,1
0.038873214,0,0
0.39547673,1,1
0.39988333,1,1
0.10100006,0,1
0.0019611663,0,0
0.0016134983,0,0
0.0019422702,0,0
0.61612993,0,1
0.4458566,1,1
1.626713,1,1
1.0266852,1,1
0.0014367623,0,0
0.002172095,0,0
0.32605967,1,1
1.1992631,1,1
0.009349137,0,0
0.0017250443,0,0
0.7563162,1,1
0.6501176,0,1
0.24175802,1,1
0.005530135,0,0
0.0026352154,0,0
0.5968059,0,1
1.5805346,1,1
1.1708003,1,1
0.0014211737,0,0
1.7475207,1,1
0.0043720067,0,0
0.007444593,0,0
1.0474255,1,1
0.0029335069,0,0
0.005817284,0,0
0.0077262362,0,0
2.9745748,1,1
0.0019655288,0,0
0.5831158,1,1
0.030447727,1,0
0.6120781,1,1
0.051617935,0,0
0.020937486,0,0
0.0059598293,0,0
0.8375879,1,1
0.4373072,1,1
0.09042076,1,0
0.0021944137,0,0
0.66840696,1,1
0.026420977,1,0
0.5173406,1,1
0.0022241743,0,0
0.26160118,1,1
0.050776225,1,0
0.013836939,0,0
0.0018577441,0,0
1.4582907,1,1
0.0023255125,0,0
1.0841411,1,1
0.40166515,1,1
1.0808984,1,1
0.001474269,0,0
0.4531671,1,1
0.004644334,0,0
0.0023318734,0,0
0.0032101942,0,0
0.5726796,1,1
0.0017706824,0,0
0.0014286677,0,0
0.5798243,1,1
0.0023108486,0,0
0.002715633,0,0
0.48392853,1,1
0.4639997,1,1
0.4394055,1,1
0.005610043,0,0
0.0018144832,0,0
0.0019890175,0,0
0.6965111,1,1
1.2445985,1,1
0.0020917498,0,0
0.012290745,0,0
0.0021601785,0,0
0.0016039023,0,0
0.41915223,1,1
0.68314815,1,1
0.26853642,1,1
0.008293572,0,0
0.0020838028,0,0
0.0030242894,0,0
1.2917017,1,1
1.1919098,1,1
1.9760698,1,1
3.121892,1,1
0.42906088,1,1
0.37312502,1,1
0.013414746,0,0
0.48955485,1,1
26.356333,1,1
0.015242809,0,0
0.4117037,1,1
0.0030320664,0,0
0.008296956,0,0
0.46954796,1,1
0.6090419,1,1
0.6182328,1,1
0.0022945441,0,0
1.6399207,1,1
0.0014638774,0,0
0.100577846,1,1
2.3141932,1,1
0.021037681,1,0
0.0027524133,0,0
0.66651934,1,1
1.2597224,1,1
0.43750665,1,1
0.08496873,0,0
0.005702665,0,0
1.7615877,1,1
0.49538407,1,1
