reconstruction_error,true_label,predicted_label
0.76813287,1,1
1.0116193,1,1
0.046236046,0,0
0.19805238,1,1
0.13375652,1,0
0.008498126,0,0
0.23778076,0,1
1.4275304,1,1
0.007066856,0,0
0.65737665,1,1
0.2632956,1,1
0.08400772,0,0
0.5514284,1,1
0.5330971,1,1
0.15511613,0,0
0.00547676,0,0
0.017984964,0,0
0.012159449,0,0
0.024578828,0,0
0.5902669,1,1
0.45852032,1,1
0.4374462,1,1
0.0028656716,0,0
0.014063077,0,0
0.40018812,1,1
0.6724956,1,1
0.009292742,0,0
0.0018928678,0,0
0.7096943,1,1
0.03329797,0,0
0.13692698,1,0
0.019632418,0,0
0.04185223,0,0
0.06590991,0,0
1.9593828,1,1
0.21497019,1,1
0.002620482,0,0
0.28880835,1,1
0.029637551,0,0
0.0267959,0,0
0.39973602,1,1
0.05043764,0,0
0.06028723,0,0
0.09282334,0,0
0.5525372,1,1
0.0021108114,0,0
0.534061,1,1
0.03757432,1,0
0.89060605,1,1
0.12592022,0,0
0.062234074,0,0
0.009413411,0,0
0.5043157,1,1
0.62991154,1,1
0.08357641,1,0
0.0070678866,0,0
0.71938926,1,1
0.104605,1,0
0.38067853,1,1
0.006958522,0,0
0.028638283,1,0
0.23870225,1,1
0.019730005,0,0
0.16438659,0,0
1.2854997,1,1
0.012200685,0,0
0.2874415,1,1
0.36463383,1,1
0.43442735,1,1
0.0009349173,0,0
0.39004427,1,1
0.0074298913,0,0
0.0039590066,0,0
0.061503015,0,0
0.47808474,1,1
0.018109579,0,0
0.008901371,0,0
0.43464392,1,1
0.018845977,0,0
0.003494411,0,0
0.5553998,1,1
0.50886273,1,1
0.8026525,1,1
0.018987376,0,0
0.0020787208,0,0
0.07536158,0,0
0.32419583,1,1
0.24710543,1,1
0.0035745557,0,0
0.11462979,0,0
0.0049273055,0,0
0.089635536,0,0
0.41965374,1,1
0.11042039,1,0
0.1280119,1,0
0.035263207,0,0
0.0034304229,0,0
0.04561802,0,0
0.3882349,1,1
0.5147537,1,1
1.1849778,1,1
0.7286284,1,1
0.61027634,1,1
0.36205548,1,1
0.044528116,0,0
0.5607604,1,1
0.37141523,1,1
0.11686847,0,0
0.0058870763,0,0
0.026346292,0,0
0.6023529,1,1
0.15992635,1,0
0.4180774,1,1
0.020026166,0,0
0.50055134,1,1
0.0039661946,0,0
0.19942963,1,1
0.82265246,1,1
0.051898032,1,0
0.01786659,0,0
0.6088046,1,1
0.51697814,1,1
0.44311315,1,1
0.15898028,0,0
0.03313342,0,0
1.0339525,1,1
0.4643116,1,1
0.052332323,0,0
